id,EC,type
K05936,2.1.1.133;2.1.1.271,enzyme
K07031,2.7.1.168,enzyme
K00342,7.1.1.2,enzyme
K08316,2.1.1.171,enzyme
K00560,2.1.1.45,enzyme
K07106,4.2.1.126,enzyme
K07232,4.3.2.7,enzyme
K00048,1.1.1.77,enzyme
K01690,4.2.1.12,enzyme
K01919,6.3.2.2,enzyme
K24866,1.3.1.76,enzyme
K02552,5.4.4.2,enzyme
K01752,4.3.1.17,enzyme
K13503,4.1.3.27,enzyme
K02563,2.4.1.227,enzyme
K05823,3.5.1.47,enzyme
K26063,,enzyme
K24110,6.2.1.62,enzyme
K03462,2.4.2.12,enzyme
K01599,4.1.1.37,enzyme
K13788,2.3.1.8,enzyme
K03385,1.7.2.2,enzyme
K00931,2.7.2.11,enzyme
K25496,,enzyme
K01222,3.2.1.86,enzyme
K02567,1.9.6.1,enzyme
K07823,2.3.1.174,enzyme
K00651,2.3.1.31;2.3.1.46,enzyme
K00689,2.4.1.5,enzyme
K01092,3.1.3.25,enzyme
K01465,3.5.2.3,enzyme
K00341,7.1.1.2,enzyme
K05934,2.1.1.131;2.1.1.272,enzyme
K26272,2.3.1.312,enzyme
K21574,3.2.1.3,enzyme
K01255,3.4.11.1,enzyme
K11334,1.3.7.14;1.3.7.15,enzyme
K07407,3.2.1.22,enzyme
K00806,2.5.1.31,enzyme
K04068,1.97.1.4,enzyme
K00067,1.1.1.133,enzyme
K13571,6.3.1.19,enzyme
K01738,2.5.1.47,enzyme
K00772,2.4.2.28,enzyme
K03651,3.1.4.53,enzyme
K00249,1.3.8.7,enzyme
K25652,,enzyme
K18334,4.2.1.68,enzyme
K19270,3.1.3.22;3.1.3.23;3.1.3.50,enzyme
K01197,3.2.1.35,enzyme
K06001,4.2.1.20,enzyme
K01682,4.2.1.3;4.2.1.99,enzyme
K00797,2.5.1.16,enzyme
K00023,1.1.1.36,enzyme
K00625,2.3.1.8,enzyme
K05365,2.4.99.28;3.4.16.4,enzyme
K00872,2.7.1.39,enzyme
K05946,2.4.1.187,enzyme
K00286,1.5.1.2,enzyme
K00950,2.7.6.3,enzyme
K01569,4.1.1.2,enzyme
K01576,4.1.1.7,enzyme
K20881,,enzyme
K00694,2.4.1.12,enzyme
K03801,2.3.1.181,enzyme
K04075,6.3.4.19,enzyme
K03778,1.1.1.28,enzyme
K21147,2.7.7.80;2.8.1.11,enzyme
K00849,2.7.1.6,enzyme
K01848,5.4.99.2,enzyme
K09018,1.14.99.46,enzyme
K00459,1.13.12.16,enzyme
K01209,3.2.1.55,enzyme
K11781,2.5.1.147,enzyme
K09121,4.99.1.12,enzyme
K00361,1.7.1.4,enzyme
K02493,2.1.1.297,enzyme
K01627,2.5.1.55,enzyme
K00691,2.4.1.8,enzyme
K00507,1.14.19.1,enzyme
K08281,3.5.1.19,enzyme
K22227,1.3.98.6,enzyme
K05526,3.5.1.96,enzyme
K03473,1.1.1.290,enzyme
K03738,1.2.7.5,enzyme
K20862,3.1.3.102;3.1.3.104,enzyme
K02775,,enzyme
K23734,2.3.1.181,enzyme
K00077,1.1.1.169,enzyme
K01684,4.2.1.6,enzyme
K01477,3.5.3.4,enzyme
K07173,4.4.1.21,enzyme
K00956,2.7.7.4,enzyme
K00563,2.1.1.187,enzyme
K14266,1.14.19.9,enzyme
K07468,,enzyme
K00606,2.1.2.11,enzyme
K23007,1.1.1.414,enzyme
K01960,6.4.1.1,enzyme
K01834,5.4.2.11,enzyme
K01194,3.2.1.28,enzyme
K02467,5.3.1.13,enzyme
K01653,2.2.1.6,enzyme
K01911,6.2.1.26,enzyme
K00338,7.1.1.2,enzyme
K10804,3.1.1.2;3.1.1.5;3.1.2.2,enzyme
K01042,2.9.1.1,enzyme
K03752,2.7.7.77,enzyme
K00528,1.18.1.2;1.19.1.1,enzyme
K01819,5.3.1.26,enzyme
K03777,1.1.5.12,enzyme
K03637,4.6.1.17,enzyme
K06920,6.3.4.20,enzyme
K18676,2.7.1.8,enzyme
K20509,7.2.4.1,enzyme
K01129,3.1.5.1,enzyme
K15899,2.7.7.81,enzyme
K20680,2.6.1.90,enzyme
K25599,,enzyme
K22373,5.1.2.1,enzyme
K07145,1.14.99.48,enzyme
K12957,1.1.1.183;1.1.1.2,enzyme
K07248,1.2.1.21;1.2.1.22,enzyme
K01579,4.1.1.11,enzyme
K01674,4.2.1.1,enzyme
K02492,1.2.1.70,enzyme
K01754,4.3.1.19,enzyme
K16371,,enzyme
K04016,,enzyme
