KO,EC,RXN
K07258,3.4.16.4,
K00287,1.5.1.3,R00936;R00937;R00939;R00940;R02235;R02236;R11765
K02012,,
K02230,6.6.1.2,R05227
K23997,4.2.1.136;5.1.99.6,
K00823,2.6.1.19,R00908;R01648
K00767,2.4.2.19,R03348
K28371,,
K00831,2.6.1.52,R04173;R05085
K01692,4.2.1.17,R03026;R03045;R04137;R04170;R04204;R04224;R04738;R04740;R04744;R04746;R04749;R05595;R06411;R06412;R06942;R08093
K03650,,R08701
K01007,2.7.9.2,R00199
K07795,,
K00662,2.3.1.81,
K00970,2.7.7.19,
K03696,,
K03763,2.7.7.7,
K07484,,
K00962,2.7.7.8,
K15923,3.2.1.51,
K03555,,
K01620,4.1.2.48,R00751;R06171
K02014,,
K00164,1.2.4.2,R00621;R01700;R03316;R08549
K21573,,
K01881,6.1.1.15,R03661
K03527,1.17.7.4,R05884;R08210
K04567,6.1.1.6,R03658
K00252,1.3.8.6,R02487;R02488;R10074
K02591,1.18.6.1,R05185;R05496
K01652,2.2.1.6,R00006;R00014;R00226;R03050;R04672;R04673;R08648
K02886,,
K02548,2.5.1.74,R10757
K09771,,
K03547,,
K28370,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K08289,6.3.1.21,R06974
K12516,,
K02470,5.6.2.2,
K01915,6.3.1.2,R00253
K25026,2.7.1.2,R00299;R01600;R01786
K03570,,
K07133,,
K02948,,
K01259,3.4.11.5,R00135
K07487,,
K02014,,
K18929,,
K06020,,
K20276,,
K01915,6.3.1.2,R00253
K12554,,R08780
K07636,2.7.13.3,
K02014,,
K01662,2.2.1.7,R05636
K13663,,
K13010,2.6.1.102,R10460
K01081,3.1.3.5,R00183;R00511;R00963;R01126;R01227;R01569;R01664;R01968;R02088;R02102;R02323;R02719;R03346;R12958
K21573,,
K12685,,
K00970,2.7.7.19,
K02519,,
K01657,4.1.3.27,R00985;R00986
K00595,2.1.1.132;2.1.1.196;2.1.1.289,R05149;R07774;R07775
K06949,3.1.3.100,R00615;R02135
K02024,,
K07679,2.7.13.3,
K07646,2.7.13.3,
K02055,,
K07133,,
K09825,,
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K21572,,
K01687,4.2.1.9,R01209;R04441;R05070
K02819,2.7.1.201,R02780
K11749,,
K07485,,
