KO,EC,Reaction,role,metabolite
K05349,3.2.1.21,R10040,product,C02659
K05349,3.2.1.21,R10040,product,C00221
K05349,3.2.1.21,R13051,substrate,C10216
K05349,3.2.1.21,R13051,substrate,C00001
K05349,3.2.1.21,R13051,product,C10208
K05349,3.2.1.21,R13051,product,C00221
K05349,3.2.1.21,R13052,substrate,C09126
K05349,3.2.1.21,R13052,substrate,C00001
K05349,3.2.1.21,R13052,product,C06563
K05349,3.2.1.21,R13052,product,C00221
K05349,3.2.1.21,R13065,substrate,C05623
K05349,3.2.1.21,R13065,substrate,C00001
K05349,3.2.1.21,R13065,product,C00389
K05349,3.2.1.21,R13065,product,C00221
K05349,3.2.1.21,R13081,substrate,C09099
K05349,3.2.1.21,R13081,substrate,C00001
K05349,3.2.1.21,R13081,product,C00509
K05349,3.2.1.21,R13081,product,C00221
K00245,1.3.5.1,R02164,substrate,C15602
K00245,1.3.5.1,R02164,substrate,C00042
K00245,1.3.5.1,R02164,product,C15603
K00245,1.3.5.1,R02164,product,C00122
K00244,1.3.5.1,R02164,substrate,C15602
K00244,1.3.5.1,R02164,substrate,C00042
K00244,1.3.5.1,R02164,product,C15603
K00244,1.3.5.1,R02164,product,C00122
K00018,1.1.1.29,R00717,substrate,C00160
K00018,1.1.1.29,R00717,substrate,C00003
K00018,1.1.1.29,R00717,product,C00048
K00018,1.1.1.29,R00717,product,C00004
K00018,1.1.1.29,R00717,product,C00080
K00018,1.1.1.29,R01388,substrate,C00258
K00018,1.1.1.29,R01388,substrate,C00003
K00018,1.1.1.29,R01388,product,C00168
K00018,1.1.1.29,R01388,product,C00004
K00018,1.1.1.29,R01388,product,C00080
K01886,6.1.1.18,R03652,substrate,C00002
K01886,6.1.1.18,R03652,substrate,C00064
K01886,6.1.1.18,R03652,substrate,C01640
K01886,6.1.1.18,R03652,product,C00020
K01886,6.1.1.18,R03652,product,C00013
K01886,6.1.1.18,R03652,product,C02282
K11717,2.8.1.7;4.4.1.16,R03599,substrate,C05688
K11717,2.8.1.7;4.4.1.16,R03599,substrate,C00030
K11717,2.8.1.7;4.4.1.16,R03599,product,C01528
K11717,2.8.1.7;4.4.1.16,R03599,product,C00041
K11717,2.8.1.7;4.4.1.16,R03599,product,C00028
K11717,2.8.1.7;4.4.1.16,R11528,substrate,C00097
K11717,2.8.1.7;4.4.1.16,R11528,substrate,C02743
K11717,2.8.1.7;4.4.1.16,R11528,product,C00041
K11717,2.8.1.7;4.4.1.16,R11528,product,C21440
K00853,2.7.1.16,R01526,substrate,C00002
K00853,2.7.1.16,R01526,substrate,C00309
K00853,2.7.1.16,R01526,product,C00008
K00853,2.7.1.16,R01526,product,C00199
K00853,2.7.1.16,R02439,substrate,C00002
K00853,2.7.1.16,R02439,substrate,C00508
K00853,2.7.1.16,R02439,product,C00008
K00853,2.7.1.16,R02439,product,C01101
K00336,7.1.1.2,R11945,substrate,C00399
K00336,7.1.1.2,R11945,substrate,C00004
K00336,7.1.1.2,R11945,substrate,C00080
K00336,7.1.1.2,R11945,product,C00390
K00336,7.1.1.2,R11945,product,C00003
K00336,7.1.1.2,R11945,product,C00080
K01857,5.5.1.2,R03307,substrate,C01278
K01857,5.5.1.2,R03307,product,C01163
K13929,2.3.1.187,R08944,substrate,C03939
