node,deg_in,deg_out,deg_total,pagerank,betweenness,closeness,eigenvector,hub,authority
K06016,0,47,47,0.0007276239504980581,0.0,0.0,0.04787415449659123,0.008506392797187847,-0.0
K00030,0,47,47,0.0007276239504980581,0.0,0.0,0.04339210491070203,0.004940657893703087,-0.0
K01665,10,36,46,0.001636153440532534,0.0,0.8096244665844139,0.015458016781801144,0.001005699370163971,0.00014164734120777388
K24845,14,32,46,0.00670236260077256,0.09778211466613275,0.9766890563318771,0.05436916841482627,0.01084701005725569,0.00012996048466708927
K01959,40,6,46,0.0021425899851387153,0.00015712329689569255,1.1483816588266647,0.029447317174550736,3.2812387653489546e-05,0.0034993546426732424
K06215,11,35,46,0.0036463320268534318,0.003907481245532019,1.0796147680241852,0.030077629830763324,0.0020097226942126624,0.0002752807686948597
K01664,10,36,46,0.001636153440532534,0.0,0.8096244665844139,0.01617807017899348,0.001005699370163971,0.00014164734120777388
K02567,26,20,46,0.009991065436576059,0.005920343993514883,0.9746185816494981,0.004439743128293953,5.817281315514183e-05,2.0726878014509135e-05
K01958,40,6,46,0.0021425899851387153,0.00015712329689569255,1.1483816588266647,0.029447317174550736,3.2812387653489546e-05,0.0034993546426732424
K00372,26,20,46,0.008468339424781928,0.005920343993514883,0.9718503209751774,0.004288122751592885,5.659656249695696e-05,1.8342101136789097e-05
K08681,11,35,46,0.0036463320268534318,0.003907481245532019,1.0796147680241852,0.030077629830763324,0.0020097226942126624,0.0002752807686948597
K12256,39,7,46,0.002140202874746171,0.0027179252577111237,1.1483816588266647,0.02848034560698113,6.16642179803262e-05,0.003458716578302015
K01960,40,6,46,0.0021425899851387153,0.00015712329689569255,1.1483816588266647,0.029447317174550736,3.2812387653489546e-05,0.0034993546426732424
K12251,0,45,45,0.0007276239504980581,0.0,0.0,0.023838930061787146,0.004259615802283928,-0.0
K07246,0,45,45,0.0007276239504980581,0.0,0.0,0.053940151681061976,0.009767575650140694,-0.0
K00186,20,25,45,0.005898330247484758,0.010537965927238897,1.327010880181431,0.09042502557585688,0.018078593693483615,0.0024515356198719267
K00648,26,19,45,0.0017505982576642644,0.0,1.1951517630007955,0.031504189354001726,0.003579942759037649,0.0018487438867359788
K02501,9,36,45,0.0014215964427786386,0.0,0.8070781589698169,0.015373716927410467,0.0010081559971254078,0.00013753723051862195
K00187,20,25,45,0.005898330247484758,0.010537965927238897,1.327010880181431,0.06692644890677368,0.018078593693483615,0.0024515356198719267
K03181,38,7,45,0.002128532557271508,0.00013467711162487935,1.1483816588266647,0.02821776207446489,0.00016708732464635272,0.003429070843173423
K02500,9,36,45,0.0014215964427786386,0.0,0.8070781589698169,0.015881087718402093,0.0010081559971254078,0.00013753723051862195
K01725,2,43,45,0.0007557388062324734,0.0,0.013377926421404682,0.0422058830641181,0.00787549741640718,0.00014056759899963938
K13290,39,6,45,0.002162120592727865,0.0006596100683775479,1.1483816588266647,0.02808088383393846,6.032872662344081e-05,0.003430559015470971
K23393,44,0,44,0.001973961921122757,0.0,0.8967722403953803,0.022739076053814995,-0.0,0.003529047647694566
K23264,9,35,44,0.0014215964427786386,0.0,0.8070781589698169,0.014961285583008075,0.0010048613471063312,0.00013753723051862195
K23269,9,35,44,0.0014215964427786386,0.0,0.8070781589698169,0.014961285583008075,0.0010048613471063312,0.00013753723051862195
K06920,44,0,44,0.001973961921122757,0.0,0.8967722403953803,0.022739076053814995,-0.0,0.003529047647694566
K00820,9,35,44,0.0014215964427786386,0.0,0.8070781589698169,0.014961285583008075,0.0010048613471063312,0.00013753723051862195
K02232,9,35,44,0.0014215964427786386,0.0,0.8070781589698169,0.014961285583008075,0.0010048613471063312,0.00013753723051862195
K03430,38,6,44,0.002128532557271508,0.0006596100683775479,1.1483816588266647,0.028049002992903714,6.032872662344081e-05,0.003429070843173423
K01952,9,35,44,0.0014215964427786386,0.0,0.8070781589698169,0.015841237833681337,0.0010048613471063312,0.00013753723051862195
K02224,9,35,44,0.0021155689350592193,0.0008996924192430465,1.06519440796663,0.02992257116601615,0.0020097226942126624,0.0002750744610372439
K00926,44,0,44,0.0020413422853892966,0.0,0.900865195304445,0.02390993807299628,-0.0,0.0036917766905328027
K04042,25,19,44,0.001829625364680238,0.0,1.1966611757804373,0.016726214163923548,0.0002733879282767099,0.0016671706251766068
K00789,24,20,44,0.003709005894173881,0.00041525442751004466,1.141381863101306,0.009861421448172045,0.0002710772259230885,0.0005959961187565647
K05601,44,0,44,0.001973961921122757,0.0,0.8967722403953803,0.022739076053814995,-0.0,0.003529047647694566
K00822,11,33,44,0.002945817400172894,0.007936409957127787,0.8384747703284712,0.04011852621241947,0.005276256050387508,0.00020797711861028005
K00166,18,26,44,0.002778204478941132,0.02442917213124392,1.3221273778809892,0.21052216410750715,0.04464133346706981,0.011562684596689935
K00167,18,26,44,0.002778204478941132,0.02442917213124392,1.3221273778809892,0.17812333404112024,0.04464133346706981,0.01156268459668994
K15737,22,21,43,0.0015026481671457283,0.0020201566743731905,0.8095058895436225,0.02217792002816711,0.0035889577394325363,0.0007844659394133165
K00248,30,13,43,0.005262242105318291,0.003221962844081315,0.9271696164997195,0.013094671283679709,7.145452009516134e-05,0.002989927795940936
K00140,4,39,43,0.0009078989614079082,0.0035801665506947095,0.8937627200808965,0.11459539762253709,0.01913461439548882,0.00014073631011080807
K02083,0,43,43,0.0007276239504980581,0.0,0.0,0.023461871965994315,0.004232407046828998,-0.0
K00873,40,2,42,0.008761443884624477,0.012910297561596075,1.7020149283557828,0.14228831731608974,6.529198356266128e-06,0.01736081708989148
K03527,21,21,42,0.003319560611356359,0.0,1.0288442101884792,0.019133227034060434,0.0031356614750241395,0.0020331221967091156
K00128,5,36,41,0.0013504156708604594,0.002075710982918453,0.7502502318837276,0.028510929359176842,0.0015265572674770264,0.00012402047786166874
K09699,20,20,40,0.0016253817780162612,0.0,0.9751749962726838,0.06599817659118619,0.010772024756259272,0.004127812803641348
K01666,40,0,40,0.0022504218012041003,0.0,1.15153501304468,0.028181688127085037,-0.0,0.0034464003777223886
K18365,40,0,40,0.00365133040797755,0.0,1.4204227558443143,0.05623069111998875,-0.0,0.006875471220895811
K00200,14,25,39,0.0023507832971083964,0.0,0.9520920560670242,0.02792297907846416,0.006023014492828829,0.0007333581080457817
K00201,14,25,39,0.0023507832971083964,0.0,0.9520920560670242,0.02297993982703401,0.006023014492828829,0.0007333581080457817
K21219,1,38,39,0.0007512769037578386,0.0,0.010033444816053512,0.023503630139295212,0.004128110821065718,8.619149167197466e-05
K14153,1,38,39,0.0007512769037578386,0.0,0.010033444816053512,0.02350363013929522,0.004128110821065718,8.619149167197497e-05
K01714,38,0,38,0.002128532557271508,0.0,1.15153501304468,0.028049002992903714,-0.0,0.003429070843173423
K01458,1,37,38,0.0009562563313856689,0.0,0.5603989468937328,0.01757681297088794,0.0010346348925071077,9.620140031526732e-07
K18118,14,24,38,0.0013172595794656333,0.0,0.5796159788905324,0.02227062640518447,0.0021889593624489973,0.0006652477657641742
K21834,14,23,37,0.003973942643718734,0.00030302350115597856,1.2006531052932694,0.02732897036530578,0.00490654050118828,0.0014667162160915633
K18288,28,9,37,0.0017639037869191022,0.010010998630782699,1.1945391340229046,0.015987003546972956,7.333923761321148e-05,0.0021342406310427596
